AB14-VUB , 1 
AB188-VUB , 1 
AB187-VUB , 1 
AB20-VUB , 1 
AB9-VUB , 1 
AB176-VUB , 1 
AB16-VUB , 2 
AB167-VUB , 3 
AB169-VUB , 4 
AB171-VUB , 5 
AB172-VUB , 5 
AB3-VUB , 5 
AB173-VUB , 6 
AB180-VUB , 6 
AB214-VUB , 6 
AB233-VUB , 6 
AB183-VUB , 6 
AB217-VUB , 6 
AB224-VUB , 6 
AB226-VUB , 6 
AB175-VUB , 7 
AB212-VUB , 7 
AB177-VUB , 8 
AB179-VUB , 9 
AB181-VUB , 10 
AB186-VUB , 11 
AB189-VUB , 12 
AB222-VUB , 12 
AB193-VUB , 13 
AB213-VUB , 13 
AB194-VUB , 14 
AB21-VUB , 15 
AB216-VUB , 16 
AB219-VUB , 16 
AB220-VUB , 17 
AB227-VUB , 18 
AB229-VUB , 18 
AB232-VUB , 18 
AB231-VUB , 19 
AB32-VUB , 20 
AB36-VUB , 21 
AB39-VUB , 22 
AB40-VUB , 23 
AB5075-VUB , 24 
ATCC17978-VUB , 25 
ATCC19606-VUB , 26 
DSM30011-VUB , 27 
