AB14-VUB , 1 
AB188-VUB , 1 
AB187-VUB , 1 
AB20-VUB , 1 
AB9-VUB , 1 
AB176-VUB , 1 
AB16-VUB , 2 
AB173-VUB , 3 
AB180-VUB , 3 
AB214-VUB , 3 
AB233-VUB , 3 
AB183-VUB , 3 
AB217-VUB , 3 
AB224-VUB , 3 
AB226-VUB , 3 
AB175-VUB , 3 
AB212-VUB , 3 
AB193-VUB , 3 
AB213-VUB , 3 
AB36-VUB , 3 
AB194-VUB , 3 
AB167-VUB , 4 
AB169-VUB , 5 
AB227-VUB , 5 
AB229-VUB , 5 
AB232-VUB , 5 
AB5075-VUB , 5 
AB171-VUB , 6 
AB172-VUB , 6 
AB3-VUB , 6 
AB177-VUB , 7 
AB179-VUB , 8 
AB181-VUB , 9 
AB186-VUB , 10 
AB189-VUB , 11 
AB222-VUB , 11 
AB21-VUB , 12 
AB40-VUB , 12 
AB216-VUB , 13 
AB219-VUB , 13 
AB220-VUB , 14 
AB231-VUB , 15 
AB32-VUB , 16 
AB39-VUB , 17 
ATCC17978-VUB , 18 
ATCC19606-VUB , 19 
DSM30011-VUB , 20 
