AB14-VUB , 1 
AB188-VUB , 1 
AB187-VUB , 1 
AB20-VUB , 1 
AB9-VUB , 1 
AB176-VUB , 1 
AB16-VUB , 2 
AB173-VUB , 2 
AB180-VUB , 2 
AB214-VUB , 2 
AB233-VUB , 2 
AB183-VUB , 2 
AB217-VUB , 2 
AB224-VUB , 2 
AB226-VUB , 2 
AB175-VUB , 2 
AB212-VUB , 2 
AB193-VUB , 2 
AB213-VUB , 2 
AB36-VUB , 2 
AB194-VUB , 2 
AB216-VUB , 2 
AB219-VUB , 2 
AB220-VUB , 2 
AB171-VUB , 2 
AB172-VUB , 2 
AB3-VUB , 2 
AB181-VUB , 2 
AB167-VUB , 2 
AB39-VUB , 2 
AB189-VUB , 2 
AB222-VUB , 2 
AB231-VUB , 3 
AB169-VUB , 4 
AB227-VUB , 4 
AB229-VUB , 4 
AB232-VUB , 4 
AB5075-VUB , 4 
AB177-VUB , 5 
AB186-VUB , 5 
AB179-VUB , 6 
AB21-VUB , 7 
AB40-VUB , 7 
AB32-VUB , 8 
ATCC17978-VUB , 9 
ATCC19606-VUB , 10 
DSM30011-VUB , 11 
