AB14-VUB , 1 
AB188-VUB , 1 
AB187-VUB , 1 
AB20-VUB , 1 
AB9-VUB , 1 
AB176-VUB , 1 
AB16-VUB , 2 
AB173-VUB , 2 
AB180-VUB , 2 
AB214-VUB , 2 
AB233-VUB , 2 
AB183-VUB , 2 
AB217-VUB , 2 
AB224-VUB , 2 
AB226-VUB , 2 
AB175-VUB , 2 
AB212-VUB , 2 
AB193-VUB , 2 
AB213-VUB , 2 
AB36-VUB , 2 
AB194-VUB , 2 
AB216-VUB , 3 
AB219-VUB , 3 
AB167-VUB , 4 
AB169-VUB , 5 
AB227-VUB , 5 
AB229-VUB , 5 
AB232-VUB , 5 
AB5075-VUB , 5 
AB171-VUB , 6 
AB172-VUB , 6 
AB3-VUB , 6 
AB177-VUB , 7 
AB179-VUB , 8 
AB181-VUB , 9 
AB186-VUB , 10 
AB189-VUB , 11 
AB222-VUB , 11 
AB21-VUB , 12 
AB40-VUB , 12 
AB220-VUB , 13 
AB231-VUB , 14 
AB32-VUB , 15 
AB39-VUB , 16 
ATCC17978-VUB , 17 
ATCC19606-VUB , 18 
DSM30011-VUB , 19 
